row_id,book_id,book_name,author_id,author_name,publishing_company,city,fiscal_year,calendar_year,year_month,date,forecast_type
30573981826_202310,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202310,2023-10-01,AutoARIMA
30573981826_202311,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202311,2023-11-01,AutoARIMA
30573981826_202312,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202312,2023-12-01,AutoARIMA
30573981826_202401,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202401,2024-01-01,AutoARIMA
30573981826_202402,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202402,2024-02-01,AutoARIMA
30573981826_202403,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202403,2024-03-01,AutoARIMA
30573981826_202404,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202404,2024-04-01,AutoARIMA
30573981826_202405,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202405,2024-05-01,AutoARIMA
30573981826_202406,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202406,2024-06-01,AutoARIMA
30573981826_202407,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202407,2024-07-01,AutoARIMA
30573981826_202408,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202408,2024-08-01,AutoARIMA
30573981826_202409,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202409,2024-09-01,AutoARIMA
30573981826_202410,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202410,2024-10-01,AutoARIMA
30573981826_202411,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202411,2024-11-01,AutoARIMA
30573981826_202412,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202412,2024-12-01,AutoARIMA
30573981826_202501,30573981826,Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2025,202501,2025-01-01,AutoARIMA
33244945363_202310,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202310,2023-10-01,AutoARIMA
33244945363_202311,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202311,2023-11-01,AutoARIMA
33244945363_202312,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202312,2023-12-01,AutoARIMA
33244945363_202401,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202401,2024-01-01,AutoARIMA
33244945363_202402,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202402,2024-02-01,AutoARIMA
33244945363_202403,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202403,2024-03-01,AutoARIMA
33244945363_202404,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202404,2024-04-01,AutoARIMA
33244945363_202405,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202405,2024-05-01,AutoARIMA
33244945363_202406,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202406,2024-06-01,AutoARIMA
33244945363_202407,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202407,2024-07-01,AutoARIMA
33244945363_202408,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202408,2024-08-01,AutoARIMA
33244945363_202409,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202409,2024-09-01,AutoARIMA
33244945363_202410,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202410,2024-10-01,AutoARIMA
33244945363_202411,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202411,2024-11-01,AutoARIMA
33244945363_202412,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202412,2024-12-01,AutoARIMA
33244945363_202501,33244945363,But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2025,202501,2025-01-01,AutoARIMA
44468800277_202310,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202310,2023-10-01,AutoARIMA
44468800277_202311,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202311,2023-11-01,AutoARIMA
44468800277_202312,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202312,2023-12-01,AutoARIMA
44468800277_202401,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202401,2024-01-01,AutoARIMA
44468800277_202402,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202402,2024-02-01,AutoARIMA
44468800277_202403,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202403,2024-03-01,AutoARIMA
44468800277_202404,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202404,2024-04-01,AutoARIMA
44468800277_202405,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202405,2024-05-01,AutoARIMA
44468800277_202406,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202406,2024-06-01,AutoARIMA
44468800277_202407,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202407,2024-07-01,AutoARIMA
44468800277_202408,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202408,2024-08-01,AutoARIMA
44468800277_202409,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202409,2024-09-01,AutoARIMA
44468800277_202410,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202410,2024-10-01,AutoARIMA
44468800277_202411,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202411,2024-11-01,AutoARIMA
44468800277_202412,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202412,2024-12-01,AutoARIMA
44468800277_202501,44468800277,Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2025,202501,2025-01-01,AutoARIMA
81207027403_202310,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202310,2023-10-01,AutoARIMA
81207027403_202311,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202311,2023-11-01,AutoARIMA
81207027403_202312,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202312,2023-12-01,AutoARIMA
81207027403_202401,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202401,2024-01-01,AutoARIMA
81207027403_202402,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202402,2024-02-01,AutoARIMA
81207027403_202403,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202403,2024-03-01,AutoARIMA
81207027403_202404,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202404,2024-04-01,AutoARIMA
81207027403_202405,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202405,2024-05-01,AutoARIMA
81207027403_202406,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202406,2024-06-01,AutoARIMA
81207027403_202407,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202407,2024-07-01,AutoARIMA
81207027403_202408,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202408,2024-08-01,AutoARIMA
81207027403_202409,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202409,2024-09-01,AutoARIMA
81207027403_202410,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202410,2024-10-01,AutoARIMA
81207027403_202411,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202411,2024-11-01,AutoARIMA
81207027403_202412,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2024,202412,2024-12-01,AutoARIMA
81207027403_202501,81207027403,Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2025,2025,202501,2025-01-01,AutoARIMA
112088627304_202310,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202310,2023-10-01,AutoARIMA
112088627304_202311,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202311,2023-11-01,AutoARIMA
112088627304_202312,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2023,202312,2023-12-01,AutoARIMA
112088627304_202401,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202401,2024-01-01,AutoARIMA
112088627304_202402,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202402,2024-02-01,AutoARIMA
112088627304_202403,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202403,2024-03-01,AutoARIMA
112088627304_202404,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202404,2024-04-01,AutoARIMA
112088627304_202405,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202405,2024-05-01,AutoARIMA
112088627304_202406,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202406,2024-06-01,AutoARIMA
112088627304_202407,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202407,2024-07-01,AutoARIMA
112088627304_202408,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2024,2024,202408,2024-08-01,AutoARIMA
112088627304_202409,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202409,2024-09-01,AutoARIMA
112088627304_202410,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202410,2024-10-01,AutoARIMA
112088627304_202411,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202411,2024-11-01,AutoARIMA
112088627304_202412,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2024,202412,2024-12-01,AutoARIMA
112088627304_202501,112088627304,Say floor happy.,61473375,Stephen Kirk,Contreras and Sons,Antonioburgh,2025,2025,202501,2025-01-01,AutoARIMA
133683658821_202310,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202310,2023-10-01,AutoARIMA
133683658821_202311,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202311,2023-11-01,AutoARIMA
133683658821_202312,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2023,202312,2023-12-01,AutoARIMA
133683658821_202401,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202401,2024-01-01,AutoARIMA
133683658821_202402,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202402,2024-02-01,AutoARIMA
133683658821_202403,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202403,2024-03-01,AutoARIMA
133683658821_202404,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202404,2024-04-01,AutoARIMA
133683658821_202405,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202405,2024-05-01,AutoARIMA
133683658821_202406,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202406,2024-06-01,AutoARIMA
133683658821_202407,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202407,2024-07-01,AutoARIMA
133683658821_202408,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2024,2024,202408,2024-08-01,AutoARIMA
133683658821_202409,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202409,2024-09-01,AutoARIMA
133683658821_202410,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202410,2024-10-01,AutoARIMA
133683658821_202411,133683658821,Certain life buy series.,27876822,Robert Carter,Edwards Inc,Port Anthonyhaven,2025,2024,202411,2024-11-01,AutoARIMA
