book_name,author_id,author_name,publishing_company,city,fiscal_year,calendar_year,year_month,date,AutoARIMA,HoltWinters,SeasonalNaive
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202310,2023-10-01,261506.8,233720.62,220235.0
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202311,2023-11-01,261805.9,239977.84,231103.98
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2023,202312,2023-12-01,258022.14,233032.02,224620.69
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202401,2024-01-01,255115.89,231207.33,221741.22
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202402,2024-02-01,255108.58,234612.86,231006.2
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202403,2024-03-01,249621.42,235080.9,217020.73
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202404,2024-04-01,252356.17,293647.8,237668.72
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202405,2024-05-01,248203.44,284386.06,229121.86
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202406,2024-06-01,249396.34,270482.16,243059.88
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202407,2024-07-01,242153.53,223891.5,221264.78
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2024,2024,202408,2024-08-01,243240.58,233246.98,234563.31
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202409,2024-09-01,248289.7,255453.73,264505.06
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202410,2024-10-01,245563.56,242859.84,220235.0
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202411,2024-11-01,243639.84,249117.05,231103.98
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2024,202412,2024-12-01,240771.31,242171.22,224620.69
Size travel decide house.,105657866,William Warren,Bond Group,East Amyton,2025,2025,202501,2025-01-01,238131.92,240346.53,221741.22
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202310,2023-10-01,197238.56,199684.45,214358.83
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202311,2023-11-01,191696.52,199304.2,208816.77
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2023,202312,2023-12-01,168753.83,196627.69,185874.1
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202401,2024-01-01,169008.16,200174.8,186128.42
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202402,2024-02-01,160161.52,192509.27,177281.77
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202403,2024-03-01,166380.75,207078.23,183501.02
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202404,2024-04-01,176588.08,209877.08,193708.34
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202405,2024-05-01,190246.98,216334.62,207367.25
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202406,2024-06-01,195136.67,210766.23,212256.92
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202407,2024-07-01,191518.3,207873.19,208638.56
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2024,2024,202408,2024-08-01,185781.86,210053.67,202902.11
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202409,2024-09-01,202582.03,205318.28,219702.3
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202410,2024-10-01,180118.31,192012.7,214358.83
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202411,2024-11-01,174576.25,191632.47,208816.77
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2024,202412,2024-12-01,151633.56,188955.95,185874.1
But which not him.,109419194,Amanda Hoffman,Glenn Inc,Antonioburgh,2025,2025,202501,2025-01-01,151887.9,192503.06,186128.42
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202310,2023-10-01,232959.98,231628.08,233174.39
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202311,2023-11-01,209483.34,197263.95,196668.05
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2023,202312,2023-12-01,189321.17,178031.7,183006.44
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202401,2024-01-01,196733.89,187359.3,194646.53
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202402,2024-02-01,202317.95,190337.5,200122.02
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202403,2024-03-01,229654.05,211875.12,200290.6
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202404,2024-04-01,217974.58,205748.2,206001.77
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202405,2024-05-01,221904.27,206069.31,205595.11
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202406,2024-06-01,207610.16,195056.16,202488.05
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202407,2024-07-01,196148.61,191390.05,192509.92
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2024,2024,202408,2024-08-01,205510.23,212435.03,218117.61
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202409,2024-09-01,207794.17,212887.3,211350.94
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202410,2024-10-01,233097.61,227591.45,233174.39
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202411,2024-11-01,201229.56,193227.33,196668.05
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2024,202412,2024-12-01,185254.12,173995.1,183006.44
Mother still Republican ball military response.,11226857,Deborah Banks,Edwards Inc,Robertbury,2025,2025,202501,2025-01-01,195389.5,183322.67,194646.53
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202310,2023-10-01,471613.0,344027.2,338038.75
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202311,2023-11-01,412876.75,343751.38,351409.66
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2023,202312,2023-12-01,412707.84,329382.94,354674.4
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202401,2024-01-01,412539.0,361305.9,350141.47
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202402,2024-02-01,412370.22,423907.5,316540.75
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202403,2024-03-01,412201.5,371815.2,415236.44
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202404,2024-04-01,412032.84,294532.5,310360.03
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202405,2024-05-01,411864.28,300533.44,349125.12
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202406,2024-06-01,411695.75,287666.94,391019.88
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202407,2024-07-01,411527.3,293237.66,385506.03
Learn culture night partner form meet.,16668575,April King,Torres-Camacho,Antonioburgh,2024,2024,202408,2024-08-01,411358.94,369770.16,426498.3
